GEOID,NAME,med_age,population,college_total,college_grad,med_income,labor_force,unemployed,housing_units,vacant_units,med_home_value,unemployment_rate,vacancy_rate,college_share,log_income,log_population,age_squared
10180,"Abilene, TX Metro Area",34.4,178244,113167,19424,66464,81939,2235,75164,9509,172800,0.027276388532933037,0.12651003139800968,0.17164014244435216,11.104415726675839,12.090908677120952,1183.36
10380,"Aguadilla, PR Metro Area",45.2,252430,189038,34371,20800,88015,10417,122332,31493,120000,0.11835482588195194,0.2574387731746395,0.18182058633713857,9.94270826568941,12.438889261540071,2043.0400000000002
10420,"Akron, OH Metro Area",40.8,699508,490098,105592,71312,372204,19495,318279,24216,199000,0.05237719100278342,0.07608419028588126,0.2154507873935417,11.174819895186337,13.458132509762804,1664.6399999999999
10500,"Albany, GA Metro Area",38.2,146768,97281,12019,54219,65976,5395,67030,9559,148800,0.08177215957317813,0.14260778755780992,0.12354930561980243,10.900786679503748,11.896608387749437,1459.2400000000002
10540,"Albany, OR Metro Area",40.2,129794,91102,12644,73396,62472,3705,52740,2206,344600,0.05930656934306569,0.04182783466059917,0.13878948870496804,11.203624717204844,11.773703857222241,1616.0400000000002
10580,"Albany-Schenectady-Troy, NY Metro Area",40.5,902372,630215,140304,86072,478704,23096,420069,42510,268400,0.048246933386811054,0.10119766038436542,0.2226287854145014,11.362939434273745,13.712782130875748,1640.25
10740,"Albuquerque, NM Metro Area",39.6,918567,645319,123872,67995,453134,24836,398671,26765,263500,0.054809394130654505,0.06713555789109316,0.19195467667928576,11.127189452043059,13.730570125996012,1568.16
10780,"Alexandria, LA Metro Area",37.9,150593,101423,13623,56492,65853,3186,67375,11520,173600,0.048380483804838045,0.17098330241187384,0.1343186456720862,10.941854314188955,11.922336112523976,1436.4099999999999
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",41.4,866764,607910,125073,82602,453195,24321,360133,23156,277800,0.0536656406182769,0.06429846751061413,0.2057426263756148,11.321789172290998,13.672522015709871,1713.9599999999998
11020,"Altoona, PA Metro Area",42.9,121854,87152,14289,60594,59161,2628,55788,5240,156700,0.044421155829008976,0.09392700939270093,0.16395492931889113,11.011951157254613,11.710578885761164,1840.4099999999999
11100,"Amarillo, TX Metro Area",36.3,270207,176439,30214,66571,131162,4289,114741,12933,196500,0.032700019822814536,0.11271472272335085,0.17124331922080718,11.106024326263507,12.506943610908413,1317.6899999999998
11180,"Ames, IA Metro Area",30,125261,71626,19778,71090,69672,2955,53647,4004,231600,0.04241302101274544,0.07463604675005125,0.2761287800519365,11.17170195892353,11.738154839442076,900
11200,"Amherst Town-Northampton, MA Metro Area",38.7,156595,99992,24534,86391,84102,4265,66490,4720,363400,0.05071223038691113,0.07098811851406227,0.24535962877030162,11.366638782699756,11.96141813354891,1497.6900000000003
11260,"Anchorage, AK Metro Area",35.4,399746,265583,56529,95918,199090,9835,170639,23089,358900,0.04939976894871666,0.13530904423959353,0.2128487139613605,11.471248938775092,12.898584624392228,1253.1599999999999
11460,"Ann Arbor, MI Metro Area",34.8,368394,235668,63851,87156,195937,8556,158115,8859,353000,0.04366709707712173,0.05602883976852291,0.27093623232683267,11.375454895394169,12.816908296585709,1211.0399999999997
11500,"Anniston-Oxford, AL Metro Area",39,116141,78627,9842,55826,52221,3362,53271,8146,149500,0.06438023017559985,0.1529162208330987,0.12517328653007237,10.929994989669282,11.662560249186889,1521
11540,"Appleton, WI Metro Area",39.3,244163,167974,38970,83919,135558,3791,102063,3849,246000,0.027965889139704037,0.03771200141089327,0.2320001905056735,11.3376073268886,12.405591314027646,1544.4899999999998
11640,"Arecibo, PR Metro Area",45,181380,135776,26902,24436,66245,7316,83248,17931,111700,0.11043852366216318,0.21539256198347106,0.19813516379919868,10.103812733769658,12.108349557001558,2025
11700,"Asheville, NC Metro Area",43.8,410817,305486,76355,69236,202441,6903,200730,39236,338400,0.03409882385485154,0.1954665471030738,0.24994598770483753,11.14527623754629,12.925903138848266,1918.4399999999998
12020,"Athens-Clarke County, GA Metro Area",33.2,218190,134162,29401,62897,111000,5045,91118,6099,280900,0.04545045045045045,0.06693518294958187,0.21914551065130217,11.049253746797524,12.293121521816696,1102.2400000000002
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",37,6176937,4142821,1052716,86338,3287177,163200,2462125,181378,335100,0.04964746346180933,0.07366725897344774,0.2541060789254472,11.366025104606752,15.636333075500236,1369
12100,"Atlantic City-Hammonton, NJ Metro Area",44.4,369940,265414,56739,80600,187322,14284,231727,78646,302600,0.07625372353487578,0.3393907485964087,0.21377546022440413,11.297253928494719,12.82109610930854,1971.36
12220,"Auburn-Opelika, AL Metro Area",33.8,196614,121536,26187,58991,94527,4091,87173,12078,224600,0.043278639965300916,0.13855207461025776,0.21546702211690363,10.985140168879203,12.188997694739708,1142.4399999999998
12260,"Augusta-Richmond County, GA-SC Metro Area",38.2,618022,420649,73182,66628,287859,17474,268250,42659,207300,0.06070333044997724,0.15902702702702703,0.17397402585053096,11.106880188596998,13.334279334511711,1459.2400000000002
12420,"Austin-Round Rock-San Marcos, TX Metro Area",35.9,2357497,1616126,510058,97638,1347895,57495,1001295,52646,434800,0.042655399715853234,0.052577911604472206,0.3156053426527387,11.489022040888669,14.673111020954476,1288.81
12540,"Bakersfield-Delano, CA Metro Area",32.4,910433,558810,68949,67660,395704,33049,304481,23065,310600,0.08351949942381173,0.07575185315339873,0.12338540827830569,11.1222504423347,13.721675589500432,1049.76
12580,"Baltimore-Columbia-Towson, MD Metro Area",38.9,2839409,1972838,460896,97300,1504269,70197,1195538,87716,373300,0.046665190866793105,0.07336947884550721,0.23362080414103945,11.485554268174097,14.859106489890323,1513.2099999999998
12620,"Bangor, ME Metro Area",42.5,153571,110847,20953,63248,77748,3175,75405,10636,193800,0.04083706333281885,0.14105165439957562,0.18902631555206725,11.054818785536467,11.941918279787018,1806.25
12700,"Barnstable Town, MA Metro Area",55.1,230073,182012,46953,94452,118753,5492,165661,62680,575900,0.0462472527009844,0.37836304259904263,0.25796650770278884,11.455847047930451,12.346151928851715,3036.01
12940,"Baton Rouge, LA Metro Area",36,871379,567496,106900,68910,429685,28116,380325,54180,232300,0.06543398070679685,0.14245710905146913,0.18837137178059404,11.140556584351254,13.677832293224299,1296
12980,"Battle Creek, MI Metro Area",40.2,133846,91704,13333,60385,63247,4276,59626,6195,151500,0.06760794978417949,0.10389762855130312,0.14539169501875598,11.008496008709475,11.804445164303226,1616.0400000000002
13020,"Bay City, MI Metro Area",43.8,103235,75148,10924,60523,50453,2304,48620,3703,135100,0.04566626365131905,0.07616207322089676,0.14536647681907702,11.010778737063674,11.54476322181898,1918.4399999999998
13140,"Beaumont-Port Arthur, TX Metro Area",37.6,396058,264780,36009,65245,176219,9982,171718,24475,164300,0.05664542415971036,0.14253019485435423,0.13599592114208023,11.085904693896348,12.889315944158183,1413.7600000000002
13220,"Beckley, WV Metro Area",43.3,113653,81508,10053,52345,44440,2687,53771,8600,123400,0.06046354635463547,0.15993751278570234,0.12333758649457723,10.865611700753455,11.64090522576468,1874.8899999999996
13380,"Bellingham, WA Metro Area",38.2,228432,155393,36442,80989,119342,6050,101928,9517,536100,0.05069464228854888,0.0933698296836983,0.2345150682463174,11.30206862196345,12.338993852029,1459.2400000000002
13460,"Bend, OR Metro Area",42.9,253650,187049,46400,85509,129625,6481,119043,16540,550400,0.04999807135969142,0.13894139092596794,0.2480633416912146,11.356376912542968,12.443710642994835,1840.4099999999999
13740,"Billings, MT Metro Area",39.7,187269,130251,29716,74599,98015,3439,84451,6594,322700,0.035086466357190225,0.07808078057098199,0.22814412173419013,11.21988238127627,12.140301364856706,1576.0900000000001
13780,"Binghamton, NY Metro Area",40.4,245844,165470,26800,63347,116161,7409,114855,12860,146700,0.06378216440974165,0.11196726307082844,0.1619628935758748,11.056382828668998,12.4124524674172,1632.1599999999999
